 not sufficient 	 insufficient 
 pricey 	 not cheap 
 shortly 	 not only 
 plausible 	 not impossible 
 hard 	 not possible 
 not 	 difficult to 
 more 	 not enough 
 attention 	 not careful 
 bad 	 not appropriate 
 together 	 not all 
 ineffective 	 not operational 
 bullshit 	 not correct 
 huh 	 not elsewhere 
 reckless 	 not safe 
 helpless 	 not useful 
 anyway 	 not even 
 not 	 n't never 
 not 	 onto the 
 slowly 	 not very 
 hasty 	 not right 
 never 	 not only 
 not 	 nothing but 
 not 	 bear in 
 not 	 not subject 
 cher 	 not cheap 
 maybe 	 not just 
 not 	 -lrb- no. 
 promptly 	 not very 
 most 	 not only 
 minimally 	 not long 
 right 	 not just 
 not 	 nothing wrong 
 neither 	 not all 
 none 	 not applicable 
 not 	 - oh 
 not 	 that neither 
 hurtful 	 not right 
 insane 	 not feasible 
 not 	 thank you 
 ok 	 not gonna 
 not 	 -rrb- no. 
 afterwards 	 not now 
 e.g. 	 not least 
 not 	 have only 
 not 	 has only 
 not 	 , okay 
 not 	 the less 
 sure 	 not safe 
 mad 	 not crazy 
 shortly 	 not yet 
 if 	 not only 
 not 	 that fails 
 not 	 that failed 
 not 	 that fail 
 anyway 	 not so 
 either 	 not just 
 unimportant 	 not much 
 wrong 	 not bad 
 no. 	 not simply 
 rightly 	 not well 
 then 	 not only 
 less 	 not have 
 nope 	 not now 
 impassable 	 not practical 
 not 	 than just 
 unless 	 not so 
 little 	 not only 
 not 	 free from 
 elusive 	 not precise 
 lightly 	 not very 
 wrongful 	 not right 
 not 	 - yes 
 plus 	 not anymore 
 blue 	 not true 
 erroneously 	 not well 
 not 	 , man 
 not 	 around the 
 not 	 no. 2 
 easiest 	 not easy 
 not 	 very little 
 not 	 no. 19 
 not 	 the matter 
 neither 	 not everyone 
 worthless 	 not necessary 
 few 	 not well 
 extraordinary 	 not right 
 hurt 	 not good 
 hurting 	 not good 
 undesirable 	 not appropriate 
 annie 	 not even 
 unable 	 not enough 
 ever 	 not just 
 otherwise 	 not that 
 so 	 not enough 
 not 	 no. 25 
 inconceivable 	 not feasible 
 mal 	 not good 
 itself 	 not even 
 not 	 abstain from 
 not 	 or less 
 not 	 right now 
 not 	 gonna be 
 dear 	 not excessively 
 can 	 not possible 
 purpose 	 not apply 
 less 	 not long 
 not 	 step forward 
 insufferable 	 not acceptable 
 not 	 all right 
 not 	 now do 
 squat 	 not much 
 not 	 pas de 
 not 	 you know 
 instead 	 not just 
 unjustified 	 not reasonable 
 high 	 not less 
 cold 	 not easy 
 nay 	 not elsewhere 
 hardly 	 not long 
 not 	 still a 
 weakly 	 not very 
 true 	 not least 
 not 	 no. 23 
 nope 	 not that 
 normal 	 not right 
 sometime 	 not much 
 inappropriate 	 not possible 
 unreachable 	 not available 
 slow 	 not much 
 hardworking 	 not easy 
 not 	 no. 7515 
 long 	 not much 
 namely 	 not only 
 person 	 not one 
 scarcely 	 not long 
 sore 	 not good 
 obsolete 	 not useful 
 weakness 	 not enough 
 weaknesses 	 not enough 
 stili 	 not again 
 not 	 , ever 
 not 	 - well 
 bit 	 not well 
 firstly 	 not only 
 not 	 no. 39574 
 not 	 , yet 
 there 	 not less 
 irresponsible 	 not serious 
 minimal 	 not long 
 not 	 away from 
 not 	 , just 
 anymore 	 not later 
 little 	 not so 
 purely 	 not but 
 not 	 excuse me 
 soon 	 not well 
 sergeant 	 not well 
 worthless 	 not much 
 nude 	 not polite 
 everything 	 not all 
 not 	 who fail 
 not 	 who failed 
 not 	 avoid any 
 nay 	 not simply 
 not 	 could only 
 vague 	 not precise 
 alright 	 not much 
 more 	 not now 
 not 	 - yeah 
 disability 	 not able 
 meaningless 	 not much 
 undoubtedly 	 not only 
 not 	 the middle 
 marginally 	 not much 
 regardless 	 not even 
 impossible 	 not workable 
 individual 	 not everyone 
 individuals 	 not everyone 
 nothin 	 not much 
 sparingly 	 not often 
 naw 	 not otherwise 
 sucky 	 not good 
 horrible 	 not good 
 not 	 yeah , 
 minus 	 not as 
 hardly 	 not just 
 fewer 	 not much 
 individual 	 not one 
 habitual 	 not unusual 
 immaterial 	 not available 
 okay 	 not necessary 
 awkward 	 not easy 
 minus 	 not less 
 no 	 not gonna 
 not 	 right , 
 not 	 n't matter 
 less 	 not long 
 lf 	 not if 
 irrelevant 	 not correct 
 not 	 , well 
 latest 	 not now 
 not 	 addition to 
 impossible 	 not likely 
 not 	 anything to 
 convenient 	 not hard 
 not 	 that correct 
 not 	 proceed without 
 not 	 no. 33480 
 unachievable 	 not possible 
 straight 	 not well 
 not 	 hold it 
 sizeable 	 not insignificant 
 nay 	 not otherwise 
 not 	 's none 
 not 	 , yeah 
 not 	 throughout the 
 not 	 's nothing 
 obtainable 	 not possible 
 substantial 	 not negligible 
 not 	 i mean 
 bad 	 not safe 
 unconscionable 	 not eligible 
 everyone 	 not all 
 you 	 not even 
 not 	 plight of 
 nope 	 not simply 
 commonly 	 not often 
 against 	 not agree 
 indeed 	 not just 
 innit 	 not otherwise 
 unclear 	 not transparent 
 barely 	 not really 
 not 	 no. 4 
 quiet 	 not much 
 not 	 during the 
 not 	 n't call 
 eh 	 not really 
 can 	 not allowed 
 can 	 not allow 
 clean 	 not much 
 not 	 along the 
 rude 	 not easy 
 hard 	 not readily 
 slight 	 not much 
 realistic 	 not practical 
 sparse 	 not long 
 finally 	 not only 
 not 	 then do 
 not 	 ever , 
 particularly 	 not least 
 not 	 not include 
 ail 	 not everything 
 far 	 not yet 
 further 	 not yet 
 ooh 	 not here 
 not 	 'm only 
 not 	 too , 
 nope 	 not yet 
 not 	 unacceptable to 
 ineffective 	 not adequate 
 convenient 	 not easy 
 besides 	 not merely 
 rarely 	 not much 
 decent 	 not bad 
 naw 	 not that 
 even 	 not differ 
 futile 	 not necessary 
 not 	 never before 
 s-sorry 	 not cool 
 seldom 	 not long 
 weak 	 not many 
 not 	 step in 
 substantial 	 not less 
 not 	 you never 
 sure 	 not so 
 together 	 not even 
 that 	 not only 
 unworkable 	 not sustainable 
 wanna 	 not gonna 
 not 	 who fails 
 nev 	 not ever 
 nay 	 not now 
 upset 	 not gonna 
 surely 	 not only 
 huh 	 not now 
 unclear 	 not right 
 nowhere 	 not much 
 not 	 but only 
 not 	 really not 
 n 	 not be 
 sparsely 	 not well 
 somewhat 	 not much 
 inhuman 	 not suitable 
 less 	 not many 
 user-friendly 	 not difficult 
 insupportable 	 not acceptable 
 l 	 not be 
 not 	 stay away 
 often 	 not infrequently 
 uncommon 	 not long 
 l 	 not the 
 costly 	 not cheap 
 overly 	 not enough 
 older 	 not only 
 not 	 far from 
 not 	 's right 
 unattainable 	 not sustainable 
 good 	 not impossible 
 there 	 not just 
 obviously 	 not only 
 customary 	 not unusual 
 step 	 not much 
 individual 	 not least 
 never 	 not on 
 not 	 's wrong 
 inhumane 	 not suitable 
 under-funded 	 not sufficient 
 unfairly 	 not well 
 unlikely 	 not long 
 useless 	 not much 
 impossible 	 not applicable 
 not 	 now , 
 fucked-up 	 not jaydee 
 most 	 not either 
 sinful 	 not good 
 not 	 're only 
 unachievable 	 not impossible 
 stiii 	 not again 
 application 	 not claim 
 cool 	 not much 
 lesser 	 not least 
 d 	 not to 
 simultaneously 	 not even 
 not 	 n't anything 
 fewer 	 not least 
 not 	 a passport 
 not 	 - oh 
 insane 	 not possible 
 ever 	 not only 
 not 	 it easy 
 anymore 	 not only 
 inconclusive 	 not clear 
 right 	 not very 
 scarce 	 not satisfactory 
 other 	 not only 
 nice 	 not good 
 -lf 	 not unless 
 rarely 	 not long 
 not 	 no. 3 
 implausible 	 not likely 
 less 	 not long 
 moreover 	 not just 
 ill 	 not much 
 no 	 not good 
 also 	 not just 
 minor 	 not long 
 not 	 lack of 
 not 	 hold on 
 poor 	 not enough 
 not 	 , only 
 complex 	 not simple 
 over 	 not anymore 
 neither 	 not now 
 potential 	 not impossible 
 inappropriate 	 not relevant 
 huh 	 not simply 
 not 	 thank you 
 may 	 not possible 
 only 	 not just 
 crazy 	 not correct 
 not 	 , except 
 illogical 	 not reasonable 
 more 	 not gonna 
 not 	 a pretty 
 inappropriate 	 not applicable 
 not 	 good step 
 not 	 in mind 
 minus 	 not least 
 not 	 okay , 
 modest 	 not significant 
 especiaily 	 not least 
 without 	 not just 
 substantial 	 not significant 
 not 	 - yeah 
 not 	 avoid the 
 danger 	 not safe 
 application 	 not sure 
 thereafter 	 not now 
 minimal 	 not enough 
 pretend 	 not serious 
 much 	 not long 
 anymore 	 not yet 
 also 	 not yet 
 presently 	 not yet 
 barely 	 not long 
 moderately 	 not very 
 disability 	 not capable 
 not 	 i know 
 not 	 it right 
 much 	 not long 
 between 	 not least 
 together 	 not only 
 not 	 mean , 
 bit 	 not too 
 not 	 's okay 
 e.g. 	 not least 
 counterproductive 	 not effective 
 gang 	 not everybody 
 not 	 you know 
 aside 	 not just 
 huh 	 not just 
 irrelevant 	 not necessary 
 irrelevant 	 not long 
 more 	 not here 
 thus 	 not only 
 baseless 	 not valid 
 less 	 not very 
 older 	 not now 
 not 	 a lot 
 straight 	 not very 
 nay 	 not that 
 none 	 not more 
 iilegal 	 not permissible 
 excessive 	 not enough 
 ridiculous 	 not pregnant 
 themselves 	 not even 
 amiss 	 not good 
 rather 	 not just 
 meanwhile 	 not yet 
 not 	 that right 
 vain 	 not much 
 much 	 not long 
 only 	 not yet 
 badly 	 not right 
 not 	 no. 6 
 fine 	 not true 
 accountability 	 not responsible 
 obtainable 	 not impossible 
 not 	 it easy 
 nothing 	 not yet 
 undesirable 	 not acceptable 
 not 	 - okay 
 gradually 	 not much 
 normal 	 not unusual 
 not 	 to bear 
 not 	 the government 
 everyone 	 not one 
 worse 	 not good 
 achievable 	 not possible 
 not 	 sorry , 
 irrelevant 	 not significant 
 feasible 	 not practical 
 improperly 	 not adequately 
 again 	 not only 
 more 	 not enough 
 plus 	 not now 
 nothing 	 not much 
 not 	 both in 
 evil 	 not bad 
 not 	 , issue 
 lesser 	 not much 
 under-funded 	 not adequate 
 inexcusable 	 not permissible 
 unacceptable 	 not eligible 
 unrealistic 	 not real 
 slight 	 not long 
 thereof 	 not enough 
 inappropriately 	 not adequately 
 huh 	 not that 
 dirty 	 not cool 
 much 	 not less 
 not 	 there 's 
 rather 	 not yet 
 lightly 	 not long 
 right 	 not yet 
 not 	 a lie 
 excessively 	 not enough 
 as 	 not unlike 
 -nothing 	 not much 
 not 	 , shit 
 miserable 	 not good 
 application 	 not know 
 under-funded 	 not enough 
 minor 	 not many 
 weak 	 not long 
 not 	 'm sorry 
 extraneous 	 not necessary 
 bad 	 not true 
 not 	 hard to 
 spiteful 	 not good 
 almost 	 not completely 
 not 	 hey , 
 everybody 	 not all 
 not 	 which fails 
 not 	 the african 
 not 	 - please 
 not 	 not gonna 
 actually 	 not just 
 not 	 kind of 
 few 	 not less 
 not 	 a little 
 inadequate 	 not much 
 not 	 to know 
 marginally 	 not long 
 n't 	 not not 
 shortly 	 not too 
 < 	 not less 
 not 	 no. 1 
 eh 	 not now 
 anything 	 not one 
 more 	 not enough 
 'ii 	 not gonna 
 usual 	 not surprising 
 bad 	 not desirable 
 not 	 no good 
 huh 	 not otherwise 
 enough 	 not yet 
 clearly 	 not only 
 not 	 unlikely to 
 further 	 not only 
 far 	 not only 
 more 	 not again 
 not 	 n't look 
 not 	 of gross 
 above 	 not just 
 as 	 not only 
 little 	 not well 
 not 	 yes , 
 not 	 , eh 
 soon 	 not too 
 not 	 - wait 
 not 	 just have 
 not 	 i 'm 
 not 	 a second 
 gang 	 not everyone 
 free 	 not yet 
 not 	 a little 
 'il 	 not gonna 
 n.a. 	 not applicable 
 not 	 to remain 
 hurtful 	 not good 
 quietly 	 not well 
 uncomfortable 	 not good 
 not 	 know , 
 minimally 	 not well 
 not 	 only the 
 fewer 	 not as 
 okay 	 not one 
 scarce 	 not long 
 improper 	 not acceptable 
 not 	 of only 
 stiff 	 not easy 
 your 	 not even 
 once 	 not only 
 meaningless 	 not necessary 
 less 	 not more 
 more 	 not only 
 inadequate 	 not relevant 
 tricky 	 not hard 
 wrong 	 not adequately 
 over 	 not again 
 precisely 	 not even 
 not 	 your problem 
 long 	 not much 
 whatsoever 	 not much 
 not 	 just wo 
 unhealthy 	 not reasonable 
 yes 	 not just 
 self-evidently 	 not surprisingly 
 none 	 not an 
 not 	 's just 
 less 	 not of 
 tough 	 not easy 
 late 	 not now 
 lightly 	 not much 
 somewhat 	 not well 
 not 	 , boy 
 farther 	 not now 
 few 	 not well 
 not 	 a step 
 unlikely 	 not many 
 alternatively 	 not yet 
 out 	 not very 
 badly 	 not adequately 
 eh 	 not simply 
 not 	 important step 
 mandatory 	 not valid 
 eh 	 not otherwise 
 none 	 not much 
 no 	 not elsewhere 
 useless 	 not much 
 toothless 	 not effective 
 not 	 's lack 
 greater 	 not only 
 under 	 not as 
 not 	 uh , 
 not 	 but never 
 aii 	 not everything 
 evil 	 not good 
 smelly 	 not good 
 not 	 any case 
 poor 	 not long 
 shit 	 not well 
 unlikely 	 not enough 
 aii 	 not all 
 irrelevant 	 not right 
 not 	 just ca 
 none 	 not one 
 ohh 	 not here 
 notice 	 not find 
 not 	 perhaps not 
 unjustified 	 not right 
 more 	 not now 
 uncomfortable 	 not much 
 minuscule 	 not significant 
 underfunded 	 not sufficient 
 lot 	 not much 
 questionable 	 not right 
 lojack 	 not difficult 
 things 	 not everything 
 object 	 not apply 
 fewer 	 not long 
 lack 	 not long 
 crazy 	 not funny 
 painful 	 not good 
 far 	 not just 
 further 	 not just 
 insignificant 	 not long 
 alive 	 not dead 
 above 	 not only 
 not 	 stay out 
 not 	 to keep 
 n't 	 not here 
 obscene 	 not acceptable 
 -lf 	 not if 
 importantly 	 not least 
 most 	 not enough 
 ordinary 	 not surprising 
 more 	 not exceeding 
 not 	 a bad 
 more 	 not exceed 
 just 	 not wrong 
 not 	 get out 
 unavailable 	 not sustainable 
 unjust 	 not reasonable 
 not 	 fall short 
 obsolete 	 not applicable 
 over 	 not only 
 not 	 you okay 
 handsome 	 not bad 
 incorrectly 	 not adequately 
 but 	 not yet 
 not 	 no. 169 
 secure 	 not least 
 not 	 i mean 
 man 	 not to 
 obtainable 	 not practicable 
 fragmentary 	 not complete 
 c 	 not see 
 not 	 the case 
 less 	 not just 
 tara 	 not much 
 not 	 please , 
 not 	 damn it 
 slim 	 not excessively 
 yet 	 not just 
 substandard 	 not satisfactory 
 anymore 	 not enough 
 not 	 let go 
 unimportant 	 not long 
 redundant 	 not necessary 
 rough 	 not good 
 not 	 place of 
 fair 	 not wrong 
 moot 	 not necessary 
 unachievable 	 not practicable 
 nope 	 not so 
 lf 	 not everyone 
 typical 	 not surprising 
 not 	 - hey 
 difficile 	 not easily 
 weakly 	 not well 
 < 	 not quite 
 least 	 not only 
 not 	 off the 
 rubbish 	 not much 
 not 	 the moment 
 briefly 	 not long 
 incidental 	 not significant 
 virtually 	 not very 
 nonsense 	 not true 
 nonsense 	 not correct 
 slowly 	 not long 
 not 	 come on 
 article 	 not be 
 article 	 not been 
 knowledge 	 not sure 
 non-compensatory 	 not valid 
 unreasonable 	 not normal 
 never 	 not that 
 slowly 	 not much 
 'il 	 not only 
 underfunded 	 not enough 
 more 	 not even 
 badly 	 not good 
 unjustifiable 	 not acceptable 
 slightly 	 not well 
 not 	 only of 
 nowhere 	 not far 
 crazy 	 not possible 
 not 	 it 's 
 not 	 keep it 
 dire 	 not easy 
 not 	 that right 
 harmless 	 not bad 
 ethan 	 not sure 
 note 	 not notice 
 uneasy 	 not easy 
 anyway 	 not least 
 panicky 	 not feasible 
 underage 	 not significant 
 rotten 	 not right 
 commonplace 	 not unusual 
 eh 	 not that 
 stuart 	 not much 
 too 	 not only 
 incorrect 	 not appropriate 
 absent 	 not enough 
 not 	 to come 
 heck 	 not excessively 
 partly 	 not simply 
 not 	 you ca 
 des 	 not all 
 not 	 , remember 
 not 	 's never 
 deficient 	 not complete 
 not 	 , sir 
 improper 	 not relevant 
 regular 	 not surprising 
 unkind 	 not correct 
 somewhat 	 not quite 
 else 	 not yet 
 not 	 n . 
 inequitable 	 not right 
 -not 	 not gonna 
 underfunded 	 not adequate 
 more 	 not just 
 bit 	 not only 
 wrong 	 not bad 
 substandard 	 not sufficient 
 not 	 no programme 
 contradictory 	 not compatible 
 kind 	 not much 
 aw 	 not here 
 hopeless 	 not impossible 
 not 	 to go 
 not 	 no way 
 somewhat 	 not long 
 more 	 not well 
 superfluous 	 not applicable 
 barely 	 not exactly 
 poorly 	 not too 
 horrible 	 not polite 
 unhelpful 	 not necessary 
 dysfunctional 	 not perfect 
 lf 	 not that 
 bad 	 not adequately 
 less 	 not only 
 panicky 	 not impossible 
 back 	 not here 
 uh 	 not that 
 not 	 except the 
 few 	 not too 
 uncertain 	 not easy 
 shortly 	 not well 
 second 	 not much 
 lf 	 not be 
 not 	 less so 
 redundant 	 not applicable 
 notable 	 not insignificant 
 not 	 the point 
 unwarranted 	 not right 
 mad 	 not happy 
 unpredictable 	 not feasible 
 ineffectively 	 not adequately 
 huh 	 not yet 
 sin 	 not yet 
 not 	 , please 
 useless 	 not appropriate 
 naive 	 not guilty 
 also 	 not least 
 many 	 not less 
 rare 	 not uncommon 
 stiii 	 not yet 
 however 	 not surprisingly 
 fine 	 not much 
 thin 	 not long 
 insecure 	 not sure 
 just 	 not till 
 not 	 inside the 
 not 	 number of 
 partly 	 not merely 
 lf 	 not true 
 not 	 loss to 
 insufficiently 	 not adequately 
 not 	 're just 
 easy 	 not well 
 respect 	 not meet 
 panicky 	 not possible 
 unnecessary 	 not much 
 pretty 	 not right 
 not 	 you think 
 inappropriate 	 not adequate 
 pas 	 not all 
 consistent 	 not compatible 
 inappropriate 	 not necessary 
 livid 	 not happy 
 unsure 	 not sure 
 huh 	 not long 
 not 	 , number 
 small 	 not significant 
 similar 	 not even 
 unpredictable 	 not impossible 
 insignificant 	 not sufficient 
 not 	 - okay 
 tiny 	 not significant 
 ineffectively 	 not well 
 inevitably 	 not unexpectedly 
 pointless 	 not appropriate 
 incompletely 	 not well 
 rude 	 not correct 
 look 	 not to 
 not 	 no. 2 
 nasty 	 not right 
 not 	 never mind 
 not 	 across the 
 plus 	 not later 
 anyway 	 not only 
 n 	 not applicable 
 short 	 not well 
 fruitless 	 not necessary 
 con- 	 not but 
 not 	 my god 
 simplistic 	 not difficult 
 equal 	 not less 
 inappropriate 	 not permissible 
 huh 	 not even 
 not 	 to go 
 never 	 not much 
 goanna 	 not gonna 
 not 	 'm just 
 not 	 first step 
 commonly 	 not infrequently 
 non 	 not one 
 whoa 	 not here 
 improper 	 not ok 
 natural 	 not surprising 
 not 	 at least 
 redundant 	 not relevant 
 not 	 a very 
 < 	 not even 
 wrongly 	 not adequately 
 not 	 to know 
 not 	 here in 
 weakly 	 not long 
 tara 	 not long 
 again 	 not even 
 unnatural 	 not suitable 
 away 	 not far 
 less 	 not complete 
 not 	 as well 
 not 	 a bit 
 ow 	 not here 
 hopeless 	 not feasible 
 minimally 	 not as 
 rare 	 not long 
 'il 	 not just 
 imperfectly 	 not well 
 unusual 	 not uncommon 
 not 	 , dear 
 significantly 	 not less 
 illegally 	 not well 
 sometime 	 not now 
 don't 	 not not 
 rarely 	 not readily 
 uncomfortable 	 not long 
 useful 	 not necessary 
 mal 	 not adequately 
 particular 	 not least 
 seldom 	 not well 
 unimportant 	 not many 
 impressive 	 not bad 
 standard 	 not surprising 
 lame 	 not good 
 minus 	 not even 
 say 	 not believe 
 unsuccessful 	 not effective 
 unfinished 	 not complete 
 'r 	 not much 
 marginally 	 not well 
 too 	 not bad 
 slight 	 not significant 
 obligatory 	 not valid 
 more 	 not yet 
 spurious 	 not true 
 not 	 i 'm 
 unsatisfactory 	 not appropriate 
 afterward 	 not now 
 just 	 not yet 
 comfortable 	 not difficult 
 not 	 's really 
 mode 	 not at 
 vain 	 not necessary 
 inexcusable 	 not acceptable 
 safe 	 not dangerous 
 stuart 	 not long 
 ill 	 not adequately 
 low 	 not well 
 unique 	 not least 
 below 	 not even 
 straight 	 not much 
 large 	 not less 
 inescapably 	 not surprisingly 
 shortly 	 not long 
 impulsive 	 not feasible 
 dreadful 	 not good 
 not 	 'm afraid 
 quite 	 not bad 
 not 	 that 's 
 not 	 nothing to 
 sparsely 	 not too 
 weakly 	 not much 
 routine 	 not unusual 
 moderately 	 not much 
 unpredictable 	 not possible 
 compulsory 	 not valid 
 modest 	 not long 
 not 	 you 're 
 lot 	 not long 
 rather 	 not very 
 universal 	 not uncommon 
 slight 	 not many 
 deficient 	 not correct 
 sound 	 not harmful 
 extraneous 	 not useful 
 minimal 	 not large 
 somewhat 	 not too 
 moreover 	 not least 
 unacceptable 	 not satisfactory 
 ill 	 not really 
 future 	 not long 
 rude 	 not right 
 incompletely 	 not adequately 
 sometime 	 not well 
 right 	 not fair 
 not 	 below the 
 unreliable 	 not correct 
 outside 	 not only 
 ineffective 	 not necessary 
 greatest 	 not only 
 not 	 i just 
 below 	 not as 
 unless 	 not as 
 ever 	 not once 
 unattainable 	 not available 
 not 	 i know 
 impulsive 	 not impossible 
 hopeless 	 not necessary 
 unattainable 	 not applicable 
 just 	 not too 
 com 	 not with 
 choosy 	 not easy 
 hopeless 	 not possible 
 unimaginable 	 not acceptable 
 unlikely 	 not sure 
 tired 	 not jaydee 
 less 	 not sufficient 
 not 	 a problem 
 not 	 no. 169 
 -no 	 not quite 
 't 	 not not 
 short 	 not too 
 incredible 	 not feasible 
 impulsive 	 not possible 
 really 	 not very 
 near 	 not far 
 vivid 	 not alive 
 imperfectly 	 not adequately 
 little 	 not good 
 inefficiently 	 not adequately 
 bad 	 not much 
 less 	 not strictly 
 unduly 	 not enough 
 d 	 not be 
 not 	 , ca 
 underutilization 	 not enough 
 d 	 not have 
 weird 	 not good 
 not 	 back in 
 appropriately 	 not surprisingly 
 'nt 	 not not 
 partly 	 not just 
 not 	 lieu of 
 not 	 a greater 
 alia 	 not other 
 inappropriate 	 not sufficient 
 questionable 	 not likely 
 meagre 	 not sufficient 
 cheap 	 not much 
 impracticable 	 not available 
 unbelievable 	 not acceptable 
 not 	 the big 
 worthwhile 	 not necessary 
 more 	 not see 
 rotten 	 not good 
 right 	 not now 
 not 	 location of 
 unfortunate 	 not appropriate 
 unclear 	 not good 
 not 	 no shit 
 much 	 not only 
 not 	 anything else 
 wasteful 	 not effective 
 vain 	 not valid 
 poor 	 not desirable 
 someday 	 not now 
 small 	 not very 
 sick 	 not well 
 slightly 	 not much 
 not 	 know i 
 substandard 	 not enough 
 prohibits 	 not to 
 no. 	 not quite 
 inherently 	 not surprisingly 
 leonard 	 not now 
 tough 	 not easily 
 scratch 	 not much 
 helpless 	 not necessary 
 higher 	 not only 
 non 	 not so 
 unreliable 	 not right 
 not 	 to get 
 abuse 	 not right 
 not 	 n't an 
 not 	 a time 
 nearly 	 not far 
 moderately 	 not long 
 non 	 not quite 
 irrelevant 	 not receivable 
 n'tyou 	 not not 
 objective 	 not applicable 
 against 	 not want 
 insensitive 	 not appropriate 
 lightly 	 not well 
 indispensable 	 not sufficient 
 unavoidably 	 not surprisingly 
 pretty 	 not good 
 anything 	 not yet 
 vacant 	 not available 
 unlikely 	 not large 
 underemployment 	 not enough 
 ill 	 not very 
 huh 	 not all 
 pleasant 	 not difficult 
 not 	 the problem 
 rarely 	 not easily 
 inaccessible 	 not possible 
 none 	 not specific 
 not 	 say no 
 nowt 	 not much 
 hunt 	 not here 
 thereby 	 not only 
 inconvenient 	 not easy 
 unforeseen 	 not visible 
 name 	 not least 
 lesser 	 not long 
 eh 	 not long 
 unsuccessful 	 not correct 
 's 	 not to 
 not 	 to work 
 questionable 	 not safe 
 not 	 you wo 
 not 	 a big 
 above 	 not only 
 too 	 not enough 
 -no 	 not good 
 brilliant 	 not true 
 minimally 	 not too 
 angry 	 not happy 
 short 	 not adequate 
 scarcely 	 not even 
 easy 	 not easily 
 not 	 we 're 
 slightly 	 not too 
 plus 	 not only 
 unrealistic 	 not reasonable 
 n't 	 not even 
 weak 	 not good 
 often 	 not uncommon 
 not 	 're welcome 
 already 	 not only 
 even 	 not able 
 approximately 	 not far 
 not 	 no secret 
 worthless 	 not appropriate 
 not 	 at present 
 irrelevant 	 not appropriate 
 neither 	 not so 
 enough 	 not much 
 scarcely 	 not adequately 
 not 	 it impossible 
 unacceptable 	 not normal 
 might 	 not able 
 unreasonable 	 not fair 
 unable 	 not available 
 absurd 	 not acceptable 
 rude 	 not good 
 non 	 not necessarily 
 not 	 you see 
 panicky 	 not practicable 
 less 	 not enough 
 same 	 not least 
 during 	 not for 
 cruel 	 not good 
 worthwhile 	 not useful 
 rude 	 not appropriate 
 scant 	 not many 
 superfluous 	 not relevant 
 satisfactory 	 not bad 
 badly 	 not bad 
 < 	 not least 
 anyway 	 not as 
 inadequate 	 not perfect 
 not 	 , save 
 incredible 	 not possible 
 'r 	 not not 
 unfeasible 	 not available 
 person 	 not here 
 huh 	 not now 
 instead 	 not so 
 unsuccessful 	 not ok 
 much 	 not many 
 goingto 	 not gonna 
 anymore 	 not well 
 indispensable 	 not enough 
 wicked 	 not good 
 obsolete 	 not necessary 
 uncomfortable 	 not gonna 
 rough 	 not easily 
 barely 	 not adequately 
 every 	 not all 
 futile 	 not appropriate 
 nah 	 not so 
 carelessly 	 not well 
 alright 	 not right 
 than 	 not just 
 not 	 no man 
 either 	 not yet 
 not 	 hold on 
 scarcely 	 not too 
 wrongfully 	 not well 
 slightly 	 not well 
 non 	 not good 
 receivable 	 not acceptable 
 more 	 not yet 
 any 	 not everything 
 everything 	 not least 
 um 	 not very 
 useless 	 not effective 
 alone 	 not but 
 wiser 	 not unreasonable 
 less 	 not particularly 
 righteous 	 not wrong 
 infrequently 	 not very 
 not 	 no. 4 
 addition 	 not only 
 minimal 	 not well 
 nope 	 not quite 
 hardly 	 not adequately 
 alia 	 not more 
 pervasive 	 not uncommon 
 short 	 not well 
 few 	 not often 
 not 	 guess i 
 not 	 n't true 
 arguably 	 not surprisingly 
 point 	 not good 
 not 	 a good 
 continuously 	 not even 
 marginally 	 not too 
 ill 	 not exactly 
 perilous 	 not safe 
 abusive 	 not right 
 barely 	 not quite 
 obsolete 	 not relevant 
 probably 	 not necessarily 
 slightly 	 not long 
 scarce 	 not available 
 miserable 	 not available 
 insignificant 	 not enough 
 natural 	 not surprisingly 
 inaccurate 	 not relevant 
 shit 	 not much 
 shortly 	 not many 
 insane 	 not right 
 law 	 not qualify 
 legitimate 	 not true 
 favourable 	 not bad 
 unpredictable 	 not sure 
 comfortably 	 not well 
 reasonably 	 not surprisingly 
 deficient 	 not available 
 carelessly 	 not adequately 
 few 	 not yet 
 okay 	 not anything 
 eh 	 not now 
 incredible 	 not acceptable 
 impractical 	 not available 
 not 	 not elsewhere 
 low 	 not too 
 not 	 's the 
 hopeless 	 not practicable 
 often 	 not necessarily 
 mate 	 not alive 
 fresh 	 not polite 
 meagre 	 not enough 
 ridiculous 	 not feasible 
 nah 	 not quite 
 bad 	 not fair 
 not 	 as long 
 not 	 i wo 
 knowledge 	 not aware 
 least 	 not more 
 whenever 	 not when 
 unless 	 not only 
 anyway 	 not that 
 sophisticated 	 not easy 
 more 	 not always 
 deficient 	 not exhaustive 
 unknown 	 not sure 
 sure 	 not only 
 elusive 	 not available 
 name 	 not hold 
 unhelpful 	 not appropriate 
 aware 	 not easily 
 point 	 not least 
 not 	 the name 
 rightly 	 not surprisingly 
 low 	 not good 
 bit 	 not yet 
 little 	 not as 
 invariably 	 not surprisingly 
 erroneously 	 not adequately 
 user-friendly 	 not hard 
 unable 	 not appropriate 
 barely 	 not reaily 
 nay 	 not so 
 redundant 	 not appropriate 
 timeliness 	 not later 
 user-friendly 	 not easy 
 fewer 	 not more 
