 not only [VP/SBAR,1] [SBAR,2] 	 not just [VP/SBAR,1] [SBAR,2] 
 [VP/VP,1] may not be [VP/S,2] 	 [VP/VP,1] can only be [VP/S,2] 
 not ask 	 n't ask 
 n't [VB,1] the [S\DT,2] 	 not [VB,1] the [S\DT,2] 
 [VBP,1] n't want [NP,2] 	 [VBP,1] not want [NP,2] 
 [PRP,1] are not 	 [PRP,1] 're not 
 has [VBN,1] unable [VP/NP,2] 	 has not [VBN,1] able [VP/NP,2] 
 not [ADJP/PP,1] for [NP,2] 	 n't [ADJP/PP,1] for [NP,2] 
 [VBP,1] not eligible [.,2] 	 [VBP,1] ineligible [.,2] 
 specified is invalid . 	 you specified is not valid . 
 [VBZ,1] n't over [.,2] 	 [VBZ,1] not over [.,2] 
 the author does not [VP/NP,1] 	 the complainant did not [VP/NP,1] 
 does not amount [VP\VB,1] 	 does not constitute [VP\VB,1] 
 [VBD,1] not bound 	 [VBD,1] not related 
 it [VBZ,1] not [RB,2] . 	 this [VBZ,1] n't [RB,2] . 
 does not have [DT,1] means 	 does not have [DT,1] resources 
 [NP\DT,1] [VBZ,2] not correct . 	 [NP\DT,1] [VBZ,2] incorrect . 
 [PRP,1] will not . 	 [PRP,1] refuse . 
 n't tell me [SBAR,1] 	 not tell me [SBAR,1] 
 's [RB,1] not possible [.,2] 	 is [RB,1] impossible [.,2] 
 not attend 	 not go to 
 [VP/VP,1] [VBZ,2] not restricted 	 [VP/VP,1] [VBZ,2] not limited 
 ca n't always [VP,1] 	 can not always [VP,1] 
 not [VB,1] this [NN,2] 	 n't [VB,1] this [NN,2] 
 wo n't let [VP\VB,1] [.,2] 	 will not leave [VP\VB,1] [.,2] 
 the [NN,1] [VBD,2] not 	 the [NN,1] [VBD,2] failed 
 [MD,1] not be solved [PP/NN,2] 	 [MD,1] not be resolved [PP/NN,2] 
 - i am not hungry 	 - i 'm not hungry 
 do not [NN,1] [.,2] 	 do n't [NN,1] [.,2] 
 you do not understand 	 you do n't understand 
 you 're not [VP,1] ! 	 you do n't [VP,1] ! 
 n't believe [SBAR/NN,1] [NN,2] 	 not believe [SBAR/NN,1] [NN,2] 
 does not run [IN,1] [NP,2] 	 does not work [IN,1] [NP,2] 
 is n't [NP,1] ! 	 's not [NP,1] ! 
 period not exceeding [NP,1] 	 term not exceeding [NP,1] 
 no [COMMA,1] [PRP,2] would n't 	 no [COMMA,1] [PRP,2] 'm not 
 parties shall not be bound 	 parties shall not be obliged 
 and [VBZ,1] n't [VB,2] 	 and [VBZ,1] not [VB,2] 
 [PRP,1] [VBD,2] n't need 	 [PRP,1] [VBD,2] not need 
 it [VBZ,1] not like [PRP,2] 	 this [VBZ,1] n't like [PRP,2] 
 [SBAR/VP,1] is not possible [VP/PP,2] 	 [SBAR/VP,1] is impossible [VP/PP,2] 
 [MD,1] not be settled [PP/PP,2] 	 [MD,1] not be solved [PP/PP,2] 
 [VP/VP,1] is not possible [IN,2] 	 [VP/VP,1] is impossible [IN,2] 
 disagree [IN,1] those 	 do not agree [IN,1] those 
 [VBZ,1] not have [VP,2] 	 [VBZ,1] n't have [VP,2] 
 pretty good , huh ? 	 not bad , eh ? 
 not turn [VP\VB,1] 	 not spend [VP\VB,1] 
 failed to [VP/S,1] [S/PP,2] 	 has not [VP/S,1] [S/PP,2] 
 not [VP/NP,1] my [NNS,2] 	 n't [VP/NP,1] my [NNS,2] 
 not in my back yard 	 not in my house 
 - none [PP,1] ? 	 - not [PP,1] ? 
 not [VB,1] us [.,2] 	 n't [VB,1] us [.,2] 
 n't [DT,1] kind [PP,2] 	 not [DT,1] kind [PP,2] 
 provided no 	 did not provide any 
 if [NP,1] fails [VP/NNS,2] 	 if [NP,1] does not [VP/NNS,2] 
 [VBZ,1] not expected that 	 [VBZ,1] not intended that 
 [SBAR/VP,1] does n't want [NP,2] 	 [SBAR/VP,1] does not want [NP,2] 
 n't know [IN,1] it [VP,2] 	 not know [IN,1] this [VP,2] 
 i am not laughing . 	 i 'm not laughing . 
 [NP,1] decides not [TO,2] 	 [NP,1] decided not [TO,2] 
 're not [JJ,1] [RB,2] . 	 'm not [JJ,1] [RB,2] . 
 that such [NNS,1] [MD,2] not 	 that these [NNS,1] [MD,2] not 
 the supreme court did not 	 the supreme court failed 
 ca n't [RB,1] [VP/JJ,2] 	 can not [RB,1] [VP/JJ,2] 
 is n't [NP/VBD,1] 	 is not [NP/VBD,1] 
 the [NNP,1] board [VBD,2] not 	 the [NNP,1] committee [VBD,2] not 
 [VBZ,1] no need to 	 [VBZ,1] not necessary to 
 [PRP,1] was unable to [VP/NNS,2] 	 [PRP,1] could not [VP/NNS,2] 
 not about us 	 n't about us 
 she 's not safe 	 she 's in danger 
 n't [VB,1] access [PP,2] 	 not [VB,1] access [PP,2] 
 's not that bad 	 is n't so bad 
 if [S/VP,1] does not run 	 if [S/VP,1] fails to run 
 not notice [NP,1] 	 n't notice [NP,1] 
 can not be [VP/PP,1] of 	 can only be [VP/PP,1] of 
 [VBD,1] not sufficiently [VBN,2] 	 [VBD,1] not adequately [VBN,2] 
 does not [VB,1] [SBAR/UCP,2] 	 do n't [VB,1] [SBAR/UCP,2] 
 is incorrect to [VB,1] 	 is not true to [VB,1] 
 do n't [RB,1] know why 	 'm not [RB,1] sure why 
 [IN,1] i [VBP,2] n't have 	 [IN,1] i [VBP,2] not have 
 do not believe [SBAR/VP,1] should 	 do not think [SBAR/VP,1] should 
 not [JJ,1] time 	 n't [JJ,1] time 
 we 're not [IN,1] 	 we are not [IN,1] 
 n't toys 	 not toys 
 unable to create a 	 you can not create a 
 [SBAR/VP,1] do not have access 	 [SBAR/VP,1] lack access 
 not [IN,1] the list 	 not [IN,1] the guestlist 
 are not listed [PP,1] [.,2] 	 are not included [PP,1] [.,2] 
 [NP,1] [VBD,2] not participated 	 [NP,1] [VBD,2] not involved 
 do n't [VB,1] [SBAR/VBZ,2] 	 does not [VB,1] [SBAR/VBZ,2] 
 she [VBZ,1] not wearing [NP,2] 	 she [VBZ,1] out of [NP,2] 
 [VBP,1] n't [VB,2] his 	 [VBP,1] not [VB,2] his 
 do n't [VP/PP,1] with [NP/SBAR,2] 	 did not [VP/PP,1] with [NP/SBAR,2] 
 [SBAR/VP,1] has failed to exhaust 	 [SBAR/VP,1] has not exhausted 
 [VBD,1] not intend to 	 [VBD,1] no intention of 
 i do n't like [VP,1] 	 i do not like [VP,1] 
 do not agree [IN,1] [NP/S,2] 	 disagree [IN,1] [NP/S,2] 
 not recognize [NP,1] 	 not recognise [NP,1] 
 'm not afraid [PP,1] 	 'm not scared [PP,1] 
 is not [NP,1] [NP\NP,2] ! 	 is n't [NP,1] [NP\NP,2] . 
 [VP/PP,1] of failing [VP/PP,2] 	 [VP/PP,1] of not [VP/PP,2] 
 not on the plane 	 n't on the plane 
 [NP,1] does not appear [IN,2] 	 [NP,1] is not displayed [IN,2] 
 am not [NP,1] ... 	 'm not [NP,1] ... 
 do not react 	 do not respond 
 [VBZ,1] not indicate [SBAR/VP,2] 	 [VBZ,1] not show [SBAR/VP,2] 
 are not my son . 	 are no son of mine . 
 that [NP,1] [VBD,2] not give 	 that [NP,1] [VBD,2] not provide 
 is n't a good 	 's not a good 
 not [VB,1] [PRP$,2] language 	 n't [VB,1] [PRP$,2] language 
 i [VBP,1] not understand [.,2] 	 i [VBP,1] n't understand [.,2] 
 rather [IN,1] [NP,2] -rrb- 	 and not [IN,1] [NP,2] -rrb- 
 [VBZ,1] [PRP,2] do n't 	 [VBZ,1] [PRP,2] does not 
 [DT,1] [NP\DT,2] does not offer 	 [DT,1] [NP\DT,2] does not provide 
 [NP/VP,1] [VBP,2] not related 	 [NP/VP,1] [VBP,2] not bound 
 [DT,1] [NNS,2] of not 	 [DT,1] [NNS,2] of failing 
 is not dependent on [NP/NN,1] 	 does not depend on [NP/NN,1] 
 n't afford [VP,1] 	 not afford [VP,1] 
 the criminal [NNP,1] does not 	 the penal [NNP,1] does not 
 's not a [NP\DT,1] 	 is not a [NP\DT,1] 
 , i do not want to 	 , i do not wish to 
 [DT,1] does n't [VB,2] 	 [DT,1] does not [VB,2] 
 it [VBD,1] not [JJ,2] . 	 that [VBD,1] n't [JJ,2] . 
 lack the [NNS,1] 	 do not have the [NNS,1] 
 [VP/VP,1] [VBP,2] not supported 	 [VP/VP,1] [VBP,2] not compatible 
 [NP/VP,1] is not listed 	 [NP/VP,1] does not appear 
 [VB,1] [CC,2] fail 	 [VB,1] [CC,2] not 
 [NP/VP,1] have not [VP,2] 	 [NP/VP,1] have not yet [VP,2] 
 [:,1] not exactly . 	 [:,1] not really . 
 [VBP,1] not sure [RB,2] 	 [VBP,1] n't know [RB,2] 
 that [NP,1] had not received 	 that [NP,1] did not receive 
 [NP,1] and not just 	 [NP,1] and not only 
 she did n't [VP/NN,1] 	 she did not [VP/NN,1] 
 [:,1] [VP/RB,2] not . 	 [:,1] [VP/RB,2] n't . 
 it [VBZ,1] not [VB,2] 	 he [VBZ,1] n't [VB,2] 
 [VBD,1] not a question [.,2] 	 [VBD,1] n't a question [.,2] 
 a length not exceeding 	 a maximum length of 
 am not hungry . 	 'm not hungry . 
 that 's not [JJ,1] [PP,2] 	 it ai n't [JJ,1] [PP,2] 
 [PRP,1] is n't finished 	 [PRP,1] 's not over 
 [S/SBAR,1] as [PRP,2] do not 	 [S/SBAR,1] because [PRP,2] does not 
 [SBAR/VP,1] is not compatible with 	 [SBAR/VP,1] does not support 
 [VBD,1] n't die 	 [VBD,1] not die 
 not state [SBAR/NP,1] [NP,2] 	 not indicate [SBAR/NP,1] [NP,2] 
 [VP/VP,1] [VBZ,2] not confined 	 [VP/VP,1] [VBZ,2] not limited 
 the law [VBZ,1] not 	 the act [VBZ,1] not 
 the engine does not 	 the motor does not 
 that [PRP,1] did not have 	 that [PRP,1] did not possess 
 [MD,1] not be construed [PP/S,2] 	 [MD,1] not be interpreted [PP/S,2] 
 the chairman [MD,1] not 	 the president [MD,1] not 
 is neither [NP,1] [CC,2] 	 is not [NP,1] [CC,2] 
 does n't exist [PP,1] . 	 does not exist [PP,1] . 
 am not [RB,1] [JJ,2] 	 'm not [RB,1] [JJ,2] 
 i [VBP,1] not believe [SBAR/NP,2] 	 i [VBP,1] n't believe [SBAR/NP,2] 
 n't read [CC,1] [VB,2] 	 not read [CC,1] [VB,2] 
 does n't answer . 	 's not responding . 
 [NNP,1] [:,2] unable to 	 [NNP,1] [:,2] you can not 
 do not provide [NP/NP,1] 	 do not offer [NP/NP,1] 
 does not fulfil [NP,1] 	 does not meet [NP,1] 
 [NP/VP,1] fail [VP/NP,2] their 	 [NP/VP,1] does not [VP/NP,2] its 
 wo n't do this . 	 're not gonna do it . 
 may not be [VP/S,1] it 	 can only be [VP/S,1] it 
 is unfair [IN,1] 	 is not fair [IN,1] 
 by not [VP/NP,1] [NP/VP,2] 	 by failing [VP/NP,1] [NP/VP,2] 
 not live [PP/NN,1] [NN,2] 	 n't live [PP/NN,1] [NN,2] 
 [PRP,1] [VBZ,2] not . 	 [PRP,1] [VBZ,2] not true . 
 failed [VP/S,1] [S/PP,2] 	 has not [VP/S,1] [S/PP,2] 
 was n't [ADJP/VBD,1] 	 was not [ADJP/VBD,1] 
 [VBZ,1] not [PRP$,2] friend . 	 [VBZ,1] not [PRP$,2] girlfriend . 
 [-LRB-,1] but not [DT,2] -rrb- 	 [-LRB-,1] though not [DT,2] -rrb- 
 i [VBP,1] not [VP/JJ,2] 	 i [VBP,1] n't [VP/JJ,2] 
 do not [VB,1] who [PRP,2] 	 do n't [VB,1] who [PRP,2] 
 [PRP,1] ai n't that [JJ,2] 	 [PRP,1] 's not that [JJ,2] 
 are not sufficient [VP/NP,1] [NP,2] 	 are not enough [VP/NP,1] [NP,2] 
 [NNP,1] has no plan to 	 [NNP,1] does not intend to 
 [MD,1] not simply [VP/VP,2] 	 [MD,1] not just [VP/VP,2] 
 [PP/S,1] it is unable 	 [PP/S,1] it can not 
 that [VBD,1] not [JJ,2] . 	 that [VBD,1] n't [JJ,2] . 
 did not know [SBAR/VBN,1] 	 did n't know [SBAR/VBN,1] 
 is not only 	 is not just 
 that [DT,1] authors [VBD,2] not 	 that [DT,1] complainants [VBD,2] not 
 you 're not sure [IN,1] 	 you are unsure [IN,1] 
 [ADVP/VP,1] [VBZ,2] n't 	 [ADVP/VP,1] [VBZ,2] not 
 ca n't [VP/VB,1] 	 can not [VP/VB,1] 
 [PRP,1] does not think 	 [PRP,1] does not believe 
 can not [VP/VP,1] [VBZ,2] 	 ca n't [VP/VP,1] [VBZ,2] 
 's not [PRP$,1] job 	 is not [PRP$,1] job 
 i [VBP,1] not see [WRB,2] 	 i [VBP,1] n't see [WRB,2] 
 did not appear to [VP/VP,1] 	 did not seem to [VP/VP,1] 
 it is not enough [IN,1] 	 it is not sufficient [IN,1] 
 [NP,1] do not work 	 [NP,1] do n't work 
 's not hard [VP/SBAR,1] 	 is not hard [VP/SBAR,1] 
 is n't [SBAR/VP,1] [VP,2] 	 's not [SBAR/VP,1] [VP,2] 
 not pay [VP\VB,1] 	 n't pay [VP\VB,1] 
 but probably [PP/NN,1] [NN,2] 	 but not [PP/NN,1] [NN,2] 
 not [ADJP/JJ,1] [JJ,2] 	 n't [ADJP/JJ,1] [JJ,2] 
 is not [NP,1] [IN,2] 	 's not [NP,1] [IN,2] 
 [VBD,1] not been shown 	 [VBD,1] not been demonstrated 
 [PRP,1] [VBP,2] n't have 	 [PRP,1] [VBP,2] not have 
 not over [RB,1] 	 not done [RB,1] 
 that is not all 	 that 's not all 
 [VBD,1] n't steal [NP,2] . 	 [VBD,1] not steal [NP,2] . 
 [NP,1] did not attain 	 [NP,1] has not obtained 
 not only [IN,1] [NN,2] 	 not just [IN,1] [NN,2] 
 we [VBP,1] not willing 	 we [VBP,1] not ready 
 [CC,1] [SBAR/RB,2] not 	 [CC,1] [SBAR/RB,2] n't 
 is n't the end of the 	 's not the end of the 
 [NP,1] are not compatible with 	 [NP,1] are not consistent with 
 n't change [NP/NN,1] [NN,2] 	 not change [NP/NN,1] [NN,2] 
 is not that [S/NN,1] 	 's not that [S/NN,1] 
 [VBP,1] not highly 	 [VBP,1] not very 
 and not [PP/PP,1] of [NN,2] 	 rather than [PP/PP,1] of [NN,2] 
 i [VBP,1] not [VP/S,2] 	 i [VBP,1] n't [VP/S,2] 
 [VBP,1] n't follow . 	 [VBP,1] not upset . 
 [PRP,1] [VBD,2] not think so 	 [PRP,1] [VBD,2] n't think so 
 has failed [VP/S,1] [S/SBAR,2] that 	 has not [VP/S,1] [S/SBAR,2] that 
 [VBP,1] closed . 	 [VBP,1] not open yet . 
 do not [VB,1] [SBAR/VBP,2] 	 do n't [VB,1] [SBAR/VBP,2] 
 [DT,1] 's not mine 	 [DT,1] is n't mine 
 not [VBG,1] [PP/NNP,2] 	 'm not [VBG,1] [PP/NNP,2] 
 not only a matter of 	 not only a question of 
 [S/VP,1] 's not [NP,2] 	 [S/VP,1] ai n't [NP,2] 
 [VBP,1] not want [PRP$,2] 	 [VBP,1] n't want [PRP$,2] 
 i do n't have [VP\VB,1] 	 i can not give [VP\VB,1] 
 [MD,1] not be subjected [TO,2] 	 [MD,1] not be subject [TO,2] 
 [PRP,1] can not understand why 	 [PRP,1] do n't understand why 
 do not believe [DT,1] 	 do not think [DT,1] 
 a [NN,1] does not [VB,2] 	 a [NN,1] fails to [VB,2] 
 ca n't live [IN,1] 	 can not live [IN,1] 
 [VBP,1] you not see [SBAR,2] 	 [VBP,1] n't you see [SBAR,2] 
 maximum [NN,1] of [CD,2] years 	 [NN,1] not exceeding [CD,2] years 
 have not responded 	 have not replied 
 's not [IN,1] [S/ADJP,2] 	 is not [IN,1] [S/ADJP,2] 
 [S/S,1] it was n't 	 [S/S,1] this was not 
 [NP\DT,1] does not [VB,2] . 	 [NP\DT,1] does n't [VB,2] . 
 n't seem [VP\VB,1] 	 not seem [VP\VB,1] 
 it 's not [SBAR/NN,1] [NN,2] 	 this is not [SBAR/NN,1] [NN,2] 
 [PRP,1] still do not [VB,2] 	 [PRP,1] still do n't [VB,2] 
 not have the power [VP,1] 	 not have the authority [VP,1] 
 we [MD,1] not [VB,2] him 	 we [MD,1] n't [VB,2] him 
 i do not believe in 	 i do n't believe in 
 [SBAR/VP,1] did not feel [IN,2] 	 [SBAR/VP,1] did not believe [IN,2] 
 or fails to [VB,1] [NP,2] 	 or do not [VB,1] [NP,2] 
 [SBAR/VP,1] [VBZ,2] not recognize 	 [SBAR/VP,1] [VBZ,2] not recognise 
 [NNS,1] should not [VP/VP,2] 	 [NNS,1] should n't [VP/VP,2] 
 does not preclude [NP,1] 	 shall not prevent [NP,1] 
 you 're not [PP/NN,1] 	 you are not [PP/NN,1] 
 -rrb- did not reply 	 -rrb- did not respond 
 n't [IN,1] [NNS,2] 	 not [IN,1] [NNS,2] 
 do n't be [JJ,1] . 	 do not be [JJ,1] . 
 [VBD,1] chosen not 	 [VBD,1] decided not 
 if [PRP,1] can not 	 if [PRP,1] ca n't 
 [SBAR/VP,1] does not agree 	 [SBAR/VP,1] disagrees 
 not clear whether 	 unclear whether 
 i am not convinced that 	 i have not been persuaded that 
 [VBP,1] not proved 	 [VBP,1] not proven 
 [NP,1] [VBZ,2] not proved 	 [NP,1] [VBZ,2] failed to prove 
 , but not anymore . 	 , but not now . 
 n't [VP/NP,1] last night 	 not [VP/NP,1] last night 
 [NP/VP,1] [VP/VP,2] can not 	 [NP/VP,1] [VP/VP,2] ca n't 
 you ca n't have [PRP,1] 	 you shall not take [PRP,1] 
 [NNS,1] [VBD,2] n't 	 [NNS,1] [VBD,2] not 
 [DT,1] [NN,2] is not applicable 	 [DT,1] [NN,2] is not applied 
 [VBP,1] n't leave [PRP,2] 	 [VBP,1] not leaving [PRP,2] 
 can not [VB,1] [S/NN,2] 	 ca n't [VB,1] [S/NN,2] 
 [VP/VP,1] could n't [VP/NN,2] 	 [VP/VP,1] could not [VP/NN,2] 
 not fair . 	 unfair . 
 's not [RB,1] [JJ,2] 	 is n't [RB,1] [JJ,2] 
 [S/S,1] he wo n't 	 [S/S,1] he will not 
 does not allow [PRP,1] to 	 does not permit [PRP,1] to 
 not [VB,1] very [RB,2] 	 n't [VB,1] very [RB,2] 
 n't vote 	 not vote 
 these requirements are not 	 these conditions are not 
 not belong [PP/NN,1] [NN,2] 	 n't belong [PP/NN,1] [NN,2] 
 , be careful not to 	 , take care not 
 was not convinced [IN,1] 	 was not persuaded [IN,1] 
 not [VP/S,1] they [VP,2] 	 n't [VP/S,1] they [VP,2] 
 do not qualify [PP,1] 	 are not entitled [PP,1] 
 [NP,1] [VBZ,2] not mean that 	 [NP,1] [VBZ,2] not imply that 
 [:,1] not exactly [.,2] 	 [:,1] not really [.,2] 
 has [VBN,1] unable 	 has not [VBN,1] able 
 not just [PP\ADVP,1] 	 not only [PP\ADVP,1] 
 not know [COMMA,1] [S,2] 	 n't know [COMMA,1] [S,2] 
 it [VBZ,1] [RB,2] not fair 	 that [VBZ,1] [RB,2] unfair 
 why i did n't 	 why i did not 
 no [COMMA,1] not really . 	 no [COMMA,1] not exactly . 
 [SBAR/VP,1] is inappropriate 	 [SBAR/VP,1] is not appropriate 
 [NP,1] does not boot 	 [NP,1] does not start 
 -lrb- not [VBN,1] -rrb- 	 -lrb- not elsewhere [VBN,1] -rrb- 
 [PRP,1] 'm not going . 	 [PRP,1] 'm not leaving . 
 but [PRP,1] 's not 	 but [PRP,1] ai n't 
 while [NNP,1] does not 	 although [NNP,1] did not 
 that [PRP,1] could not [VP/PP,2] 	 that [PRP,1] could only [VP/PP,2] 
 will not [VB,1] [PP/NNP,2] 	 wo n't [VB,1] [PP/NNP,2] 
 not deem it [S\PRP,1] 	 not consider it [S\PRP,1] 
 [NNP,1] failed to demonstrate 	 [NNP,1] has not shown 
 do not [VB,1] to [VP/PRP,2] 	 do n't [VB,1] to [VP/PRP,2] 
 're not [VBG,1] [PP,2] 	 'm not [VBG,1] [PP,2] 
 [VBZ,1] unknown [.,2] 	 [VBZ,1] not known [.,2] 
 do not apply to 	 are not applicable to 
 if you [VBP,1] not [VP,2] 	 if you [VBP,1] n't [VP,2] 
 she [VBZ,1] n't [VB,2] 	 she [VBZ,1] not [VB,2] 
 's not gonna be easy 	 wo n't be easy 
 this is not only a 	 this is not just a 
 [IN,1] [NP,2] is not displayed 	 [IN,1] [NP,2] does not appear 
 can not be [VP/S,1] [NP,2] 	 can only be [VP/S,1] [NP,2] 
 [NP,1] ca n't be [VBN,2] 	 [NP,1] can not be [VBN,2] 
 [JJ,1] you [VBP,2] n't 	 [JJ,1] you [VBP,2] not 
 'm not feeling [RB,1] . 	 do n't feel [RB,1] . 
 [INTJ\UH,1] , not yet [.,2] 	 [INTJ\UH,1] , not again [.,2] 
 [DT,1] were not [DT,2] 	 [DT,1] was n't [DT,2] 
 [VBZ,1] n't true [.,2] 	 [VBZ,1] not true [.,2] 
 ai n't [JJ,1] [.,2] 	 's not [JJ,1] [.,2] 
 do n't see [WRB,1] [PRP,2] 	 do not see [WRB,1] [PRP,2] 
 [VBD,1] not been sufficiently 	 [VBD,1] not been adequately 
 does not even [VB,1] [NP,2] 	 do n't even [VB,1] [NP,2] 
 can not [VP/PP,1] [PP/PRP,2] 	 could only [VP/PP,1] [PP/PRP,2] 
 [VBD,1] n't [VB,2] 	 [VBD,1] not [VB,2] 
 not know why [S/PRP,1] [PRP,2] 	 n't know why [S/PRP,1] [PRP,2] 
 [VBP,1] not [JJ,2] because 	 [VBP,1] not [JJ,2] since 
 [SBAR/VP,1] are unable [TO,2] 	 [SBAR/VP,1] are not able [TO,2] 
 [-LRB-,1] not allocated [-RRB-,2] 	 [-LRB-,1] vacant [-RRB-,2] 
 have n't [NP/VP,1] [VP/NN,2] 	 does not have [NP/VP,1] [VP/NN,2] 
 i do not believe [S/SBAR,1] 	 i do not think [S/SBAR,1] 
 has not [VP/NP,1] [NP/SBAR,2] that 	 has failed [VP/NP,1] [NP/SBAR,2] that 
 [VP/VP,1] [VBD,2] not prepared 	 [VP/VP,1] [VBD,2] not ready 
 [DT,1] is not [PP,2] 	 [DT,1] 's not [PP,2] 
 [VBZ,1] n't [VB,2] ! 	 [VBZ,1] not [VB,2] ! 
 not only [PP,1] [CC,2] for 	 not just [PP,1] [CC,2] for 
 was n't [DT,1] [NN,2] 	 was not [DT,1] [NN,2] 
 [SBAR/VP,1] does not meet 	 [SBAR/VP,1] fails to meet 
 n't ask 	 not asking 
 is not [DT,1] problem 	 is not [DT,1] issue 
 do n't follow [PRP,1] . 	 'm not following [PRP,1] . 
 [:,1] not so much . 	 [:,1] not really . 
 other professional services not elsewhere specified 	 other professional services not otherwise specified 
 but not me . 	 but i 'm not . 
 that 's not [NP,1] [SQ\S,2] 	 this is n't [NP,1] [SQ\S,2] 
 [PRP,1] [VBP,2] n't too 	 [PRP,1] [VBP,2] not too 
 not [VP/PRP,1] me . 	 n't [VP/PRP,1] me . 
 [VBZ,1] unavailable . 	 [VBZ,1] not available . 
 ca n't [VP,1] [.,2] 	 can not [VP,1] [.,2] 
 are not sufficient [VP/PP,1] 	 are not enough [VP/PP,1] 
 [MD,1] not change [NP/NP,2] 	 [MD,1] not alter [NP/NP,2] 
 'm not [NP/NP,1] [NNP,2] 	 am not [NP/NP,1] [NNP,2] 
 [VBD,1] n't [NN,2] of the 	 [VBD,1] not [NN,2] of the 
 'm not gonna [VB,1] 	 am not going to [VB,1] 
 should n't have [VP,1] 	 should not have [VP,1] 
 [PRP,1] can not [VP/NP,2] 	 [PRP,1] ca n't [VP/NP,2] 
 not [VB,1] for the [NN,2] 	 n't [VB,1] about the [NN,2] 
 and i [VBD,1] not [VP,2] 	 and i [VBD,1] n't [VP,2] 
 not careful 	 n't mind her 
 they do not [VB,1] [NNS,2] 	 they do n't [VB,1] [NNS,2] 
 that [VBZ,1] not fair [.,2] 	 it [VBZ,1] n't fair [.,2] 
 n't [VP/NP,1] a [NP\DT,2] 	 not [VP/NP,1] an [NP\DT,2] 
 'm not [VBG,1] [NP,2] . 	 ai n't [VBG,1] [NP,2] . 
 [NP,1] are not inconsistent 	 [NP,1] are not incompatible 
 [SBAR/VP,1] [VBZ,2] failed to prove 	 [SBAR/VP,1] [VBZ,2] not proven 
 has not responded to 	 did not respond to 
 i [VBD,1] not [VP/JJ,2] 	 i [VBD,1] n't [VP/JJ,2] 
 do not hesitate to [VP/NP,1] 	 feel free to [VP/NP,1] 
 could not [VB,1] [NP,2] . 	 failed to [VB,1] [NP,2] . 
 we do n't have enough 	 we do not have enough 
 're not coming [PP,1] 	 do n't come [PP,1] 
 n't [VB,1] a problem 	 not [VB,1] a problem 
 [DT,1] [NP\DT,2] , not only 	 [DT,1] [NP\DT,2] , not just 
 [S/VP,1] [VBP,2] not a 	 [S/VP,1] [VBP,2] n't no 
 if a [NP\DT,1] fails to 	 if a [NP\DT,1] does not 
 n't always 	 not always 
 they do n't [VB,1] [DT,2] 	 they do not [VB,1] [DT,2] 
 [S/VP,1] is not necessary 	 [S/VP,1] is no need 
 'm not going without 	 wo n't leave without 
 did n't have [NP,1] [PP,2] 	 did not have [NP,1] [PP,2] 
 [VBP,1] n't intend 	 [VBP,1] not intend 
 , is not sufficient 	 , is not enough 
 [NP,1] [VBZ,2] not change 	 [NP,1] [VBZ,2] not modify 
 if we do not [RB,1] 	 unless we [RB,1] 
 n't the end [PP,1] 	 not the end [PP,1] 
 [VBZ,1] not to say [PRN,2] 	 [VBZ,1] not mean [PRN,2] 
 am not [RB,1] [VP/NNS,2] 	 'm not [RB,1] [VP/NNS,2] 
 not known . 	 unknown . 
 is n't [DT,1] [NP\DT,2] , 	 's not [DT,1] [NP\DT,2] , 
 the [NN,1] [VBZ,2] not compatible 	 the [NN,1] [VBZ,2] not supported 
 [VBZ,1] n't [RB,2] , 	 [VBZ,1] not [RB,2] , 
 is not precluded [IN,1] 	 is not excluded [IN,1] 
 [DT,1] authors have not [VBN,2] 	 [DT,1] complainants have not [VBN,2] 
 [VBZ,1] not the guy [.,2] 	 [VBZ,1] not him [.,2] 
 not [RB,1] , anyway . 	 well , not [RB,1] . 
 i [VBP,1] not say [IN,2] 	 i [VBP,1] not saying [IN,2] 
 it is not enough [SBAR/VP,1] 	 it was not sufficient [SBAR/VP,1] 
 [NP,1] [VBP,2] not willing 	 [NP,1] [VBP,2] not prepared 
 would not be [PP/NN,1] 	 would n't be [PP/NN,1] 
 not [VB,1] the [NNS,2] 	 n't [VB,1] the [NNS,2] 
 provision [VBZ,1] not [VP,2] : 	 requirement [VBZ,1] not [VP,2] : 
 or unwilling to 	 or will not 
 do n't mention the 	 'm not talking about the 
 [NN,1] [NN,2] is invalid 	 [NN,1] [NN,2] is not valid 
 [VBZ,1] no need [TO,2] 	 [VBZ,1] not necessary [TO,2] 
 it [VBZ,1] just not fair 	 this [VBZ,1] so unfair 
 not know whether [S/NN,1] [NN,2] 	 n't know if [S/NN,1] [NN,2] 
 if he had n't 	 had he not 
 is not known [SBAR/NN,1] 	 does n't know [SBAR/NN,1] 
 'm not [JJ,1] that 	 am not [JJ,1] that 
 [MD,1] not guarantee [NP,2] 	 [MD,1] not ensure [NP,2] 
 a [NP\DT,1] can only [VB,2] 	 a [NP\DT,1] can not [VB,2] 
 [SBAR/VP,1] are not enough [VP/NP,2] 	 [SBAR/VP,1] are not sufficient [VP/NP,2] 
 [PRP,1] do not [VB,2] when 	 [PRP,1] do n't [VB,2] when 
 n't [VB,1] , [S,2] 	 not [VB,1] , [S,2] 
 [VBD,1] her not 	 [VBD,1] him not to 
 [:,1] it 's not possible 	 [:,1] that 's impossible 
 not [VP/IN,1] [IN,2] 	 n't [VP/IN,1] [IN,2] 
